,loan_amnt,int_rate,grade,sub_grade,home_ownership,annual_inc,verification_status,purpose,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,application_type,mort_acc,pub_rec_bankruptcies,term_months,emp_length_yrs,fico_score,loan_to_income,credit_history_yrs,revol_util_bucket,log_annual_inc,log_revol_bal,int_rate_sq,addr_state_freq
9210,10000.0,11.99,C,C1,RENT,120000.0,Source Verified,medical,8.79,4.0,0.0,14.0,0.0,37084.0,66.0,44.0,w,Individual,10.0,0.0,36,10.0,662.0,0.08333333333333333,21.08145106091718,high,11.695255355062795,10.520967854170658,143.7601,0.1468374339961802
4345,25000.0,14.85,C,C5,MORTGAGE,60000.0,Not Verified,debt_consolidation,20.48,0.0,1.0,11.0,0.0,14659.0,40.7,23.0,w,Individual,3.0,0.0,60,10.0,727.0,0.4166666666666667,11.416837782340862,medium,11.002116507732017,9.592877975440642,220.52249999999998,0.010560611167284574
3548,4800.0,10.78,B,B4,MORTGAGE,160000.0,Source Verified,home_improvement,23.3,1.0,0.0,15.0,0.0,105791.0,97.9,58.0,w,Individual,9.0,0.0,36,10.0,667.0,0.03,23.080082135523615,maxed,11.982935344196433,11.569230181180696,116.20839999999998,0.03078305808336142
6326,24000.0,9.8,B,B3,RENT,50000.0,Source Verified,credit_card,17.91,0.0,0.0,10.0,0.0,15195.0,46.2,21.0,w,Individual,0.0,0.0,36,2.0,702.0,0.48,14.584531143052704,medium,10.819798284210286,9.628787514307517,96.04000000000002,0.027749691045949893
6910,15000.0,5.32,A,A1,MORTGAGE,158000.0,Not Verified,credit_card,14.82,0.0,2.0,25.0,0.0,22153.0,32.3,51.0,w,Individual,4.0,0.0,36,5.0,737.0,0.0949367088607595,42.913073237508556,medium,11.970356641102999,10.005773346076877,28.302400000000002,0.08133917537355353
3655,8675.0,20.5,E,E4,OWN,33200.0,Verified,debt_consolidation,39.59,0.0,0.0,15.0,1.0,6254.0,30.7,42.0,w,Individual,1.0,1.0,36,9.0,662.0,0.26129518072289154,20.58590006844627,medium,10.410335274932894,8.741136422901011,420.25,0.015054488259746096
6052,16000.0,7.91,A,A5,MORTGAGE,150000.0,Not Verified,debt_consolidation,13.62,0.0,3.0,18.0,0.0,34189.0,35.4,36.0,w,Individual,3.0,0.0,36,4.0,717.0,0.10666666666666667,14.584531143052704,medium,11.918397239722838,10.439688482633347,62.5681,0.03583866981238063
91,11000.0,6.49,A,A2,MORTGAGE,85000.0,Not Verified,credit_card,15.0,0.0,0.0,12.0,0.0,9488.0,20.1,31.0,w,Individual,0.0,0.0,36,10.0,757.0,0.12941176470588237,10.666666666666666,low,11.350418300109132,9.157888511973757,42.1201,0.027075609482080664
8113,4250.0,18.2,E,E1,RENT,60000.0,Source Verified,credit_card,20.7,0.0,1.0,7.0,0.0,27215.0,98.6,16.0,w,Individual,0.0,0.0,36,7.0,667.0,0.07083333333333333,9.08145106091718,maxed,11.002116507732017,10.211560314635642,331.23999999999995,0.08133917537355353
3493,12225.0,16.59,D,D2,MORTGAGE,94000.0,Source Verified,debt_consolidation,10.62,0.0,1.0,10.0,0.0,10711.0,82.0,20.0,f,Individual,1.0,0.0,36,,672.0,0.1300531914893617,19.247091033538673,high,11.451060699493427,9.279119887371008,275.2281,0.009437141894169195
